target_id,wavelength_bin_um,cwave_um,cband_um,aperture_flux_uJy,aperture_flux_unc_uJy,psf_flux_uJy,psf_flux_unc_uJy,measurement_count
ucs_0972,0.74,0.7394282765538214,0.01810694225174875,5936.404296875,173.393310546875,5262.2138671875,101.34619903564453,1
ucs_0972,0.76,0.7551376673217088,0.017989979410467923,6060.972412109375,175.39537048339844,5687.09375,100.85319900512695,2
ucs_0972,0.78,0.7743844556040831,0.018994739449829108,3649.960205078125,159.86984252929688,3046.844970703125,79.48184204101562,3
ucs_0972,0.8,0.800722494247313,0.019160353065453443,8837.945556640625,165.6375503540039,8588.119873046875,113.97212600708008,2
ucs_0972,0.8200000000000001,0.82777481290364,0.020249681119929006,13871.8837890625,202.0504150390625,13600.453125,138.4093017578125,1
ucs_0972,0.84,0.847218323791516,0.020694239261510254,11054.8369140625,177.2952423095703,10600.341796875,122.86774444580078,1
ucs_0972,0.86,0.8587527605038208,0.021527954741271327,12017.8515625,179.44216918945312,11823.0908203125,130.8745346069336,2
ucs_0972,0.88,0.8705050350489533,0.02183294590378241,14666.6298828125,188.0480499267578,14387.697265625,141.45277404785156,1
ucs_0972,0.9,0.8951624968946665,0.023004880647978246,19923.0595703125,191.72471618652344,19668.509765625,159.1761245727539,2
ucs_0972,0.92,0.9131494306325254,0.02360529618607454,25497.599609375,216.1893310546875,25093.16796875,178.88052368164062,3
ucs_0972,0.9400000000000001,0.938272507866641,0.024002313819238837,28486.7236328125,220.82585906982422,28497.966796875,192.17475128173828,4
ucs_0972,0.96,0.9640576244358408,0.024509021265825843,32501.212890625,241.60215759277344,32791.2734375,204.24290466308594,3
ucs_0972,0.98,0.9835041355694834,0.02563776465666038,33286.099609375,237.02617645263672,33580.275390625,202.4085464477539,2
ucs_0972,1.0,1.002800438201704,0.026184507401522415,33217.97265625,231.13185119628906,33394.38671875,201.98233032226562,1
ucs_0972,1.02,1.0110381948105442,0.026914959522723925,35621.03515625,236.88087463378906,35339.859375,207.9307098388672,1
ucs_0972,1.04,1.0350468602973717,0.027283752066049237,39854.453125,265.3139419555664,40174.11328125,224.00601959228516,2
ucs_0972,1.06,1.0553021481372449,0.028038293807271193,43226.294921875,253.32523345947266,44214.16796875,233.31341552734375,2
ucs_0972,1.08,1.0849268554560538,0.02946933715806435,50471.75390625,304.4830017089844,52051.51171875,263.75067138671875,1
ucs_0972,1.1,1.1094950147589158,0.02514204604297482,50382.36328125,276.2245178222656,51183.10546875,253.03396606445312,1
ucs_0972,1.16,1.1630422674050651,0.028196364894973763,53453.26171875,309.1793212890625,53894.6640625,266.8627014160156,1
ucs_0972,1.24,1.2485833135727509,0.03006014108420825,55720.26171875,293.34112548828125,56207.23046875,270.1503601074219,1
ucs_0972,1.26,1.2671379363263897,0.030606236060554855,60705.4375,306.7352294921875,61213.26953125,281.5273132324219,1
ucs_0972,1.28,1.2780429993280746,0.030805335995811867,66186.75,305.7243347167969,67017.203125,280.3834533691406,1
ucs_0972,1.3,1.2950642340397351,0.031478178823485185,67727.375,313.8448791503906,68833.09375,289.10992431640625,1
ucs_0972,1.36,1.357027178278635,0.032210245554289765,51170.28125,274.8262939453125,51379.23828125,238.138671875,1
ucs_0972,1.3800000000000001,1.3890684672640552,0.03327615565255461,51421.9765625,288.804443359375,52074.0859375,239.33871459960938,1
ucs_0972,1.4000000000000001,1.395305821935933,0.03353099423676956,48870.779296875,267.38584899902344,49213.94140625,237.19508361816406,2
ucs_0972,1.42,1.4221145239853241,0.034311792787282816,50394.63671875,278.16595458984375,51007.02734375,239.076904296875,1
ucs_0972,1.46,1.456281807835005,0.03548301757653768,50903.6875,257.99365234375,50847.62890625,243.13487243652344,1
ucs_0972,1.5,1.5026679005242687,0.03668331969353068,53102.48828125,269.86480712890625,53693.37890625,245.72837829589844,1
ucs_0972,1.56,1.5647404537896414,0.03839934476417998,65803.0859375,282.84112548828125,67226.1328125,268.1432189941406,1
ucs_0972,1.6400000000000001,1.6403938700324034,0.03919659373422365,71493.19921875,311.05682373046875,71798.6328125,285.8955841064453,2
ucs_0972,1.6600000000000001,1.6606966449593616,0.03959129435513654,72426.125,326.2503967285156,72681.640625,290.92584228515625,1
