target_id,wavelength_bin_um,cwave_um,cband_um,aperture_flux_uJy,aperture_flux_unc_uJy,psf_flux_uJy,psf_flux_unc_uJy,measurement_count
cvj_arcturus_gaia_1233967198192238208,0.74,0.7430832243447383,0.016910710892727554,23152.33984375,4740.2099609375,26536.197265625,352.02879333496094,2
cvj_arcturus_gaia_1233967198192238208,0.76,0.7603358533224549,0.018298463693022432,33083.2421875,5007.48828125,27698.3740234375,400.6509246826172,2
cvj_arcturus_gaia_1233967198192238208,0.78,0.7783251895073172,0.018661397059952713,26380.1806640625,4397.7022705078125,25884.642578125,342.4765930175781,2
cvj_arcturus_gaia_1233967198192238208,0.8,0.7966406188902985,0.019532715127585552,26342.2529296875,4595.64794921875,28211.4990234375,364.1853942871094,2
cvj_arcturus_gaia_1233967198192238208,0.8200000000000001,0.8157314783483036,0.02044159854860142,28147.7255859375,4614.354736328125,26148.0302734375,336.3611755371094,2
cvj_arcturus_gaia_1233967198192238208,0.84,0.8351894363778536,0.020192248563966297,31021.271484375,3800.906494140625,27585.7705078125,302.23834228515625,2
cvj_arcturus_gaia_1233967198192238208,0.86,0.8568320235056661,0.02122195248004502,27299.439453125,4116.04638671875,25547.513671875,318.7428283691406,3
cvj_arcturus_gaia_1233967198192238208,0.88,0.8780090642138374,0.022451548287171656,22319.3330078125,6253.855712890625,26917.375,411.724853515625,2
cvj_arcturus_gaia_1233967198192238208,0.9,0.8931225531250071,0.023335608162372536,22036.478515625,4703.66943359375,22346.7890625,393.0851745605469,1
cvj_arcturus_gaia_1233967198192238208,0.92,0.9144478214132451,0.023010260560022106,21404.849609375,4358.55810546875,25335.8359375,345.68243408203125,1
cvj_arcturus_gaia_1233967198192238208,0.9400000000000001,0.9421933173782698,0.02447476107144774,24453.921875,5962.702392578125,25099.63671875,406.9946746826172,2
cvj_arcturus_gaia_1233967198192238208,0.96,0.9534426842504788,0.024353384951099226,26963.89453125,7139.41943359375,28087.748046875,389.116943359375,1
cvj_arcturus_gaia_1233967198192238208,0.98,0.9733740473491902,0.025512147218543973,17166.48358154297,7279.342041015625,25439.73828125,434.03273010253906,2
cvj_arcturus_gaia_1233967198192238208,1.0,0.9966716487141513,0.026168265936693892,26399.4453125,6356.283447265625,27472.015625,441.83538818359375,2
cvj_arcturus_gaia_1233967198192238208,1.02,1.0231915012658928,0.026476129747740933,24105.091796875,5203.55615234375,28280.94140625,358.4155578613281,1
cvj_arcturus_gaia_1233967198192238208,1.04,1.0446466759998345,0.027707541882573336,26230.7021484375,5109.7657470703125,24893.58203125,379.6643981933594,2
cvj_arcturus_gaia_1233967198192238208,1.08,1.0723755481234019,0.029176050996483346,32769.7265625,1762.8902587890625,27519.314453125,272.924560546875,1
cvj_arcturus_gaia_1233967198192238208,1.1,1.098254884058321,0.029892338014353485,24509.90625,1905.5753173828125,26352.3203125,257.091552734375,1
cvj_arcturus_gaia_1233967198192238208,1.12,1.110925621335678,0.02621473010550104,26915.693359375,2429.338134765625,26144.330078125,256.46661376953125,3
cvj_arcturus_gaia_1233967198192238208,1.1400000000000001,1.1368450184713055,0.02730716696009611,26053.12109375,2708.988525390625,26414.419921875,287.9320373535156,3
cvj_arcturus_gaia_1233967198192238208,1.16,1.1641509602408722,0.027971161451833204,29094.095703125,1997.6549072265625,26870.38671875,281.81005859375,3
cvj_arcturus_gaia_1233967198192238208,1.2,1.1920446391829254,0.028825756713815678,23155.154296875,2152.164306640625,25939.583984375,261.78106689453125,3
cvj_arcturus_gaia_1233967198192238208,1.22,1.2206470412030617,0.029610629877728285,24477.25390625,3161.40771484375,25117.701171875,302.575927734375,3
cvj_arcturus_gaia_1233967198192238208,1.24,1.2494161027693358,0.029939774692201576,21672.9208984375,3619.94970703125,25185.7138671875,286.86761474609375,2
cvj_arcturus_gaia_1233967198192238208,1.26,1.25252346447646,0.03036583348424059,25545.814453125,2556.53466796875,24771.537109375,281.964599609375,1
cvj_arcturus_gaia_1233967198192238208,1.28,1.2804121017435866,0.03103750935431039,19046.1103515625,3667.7391357421875,25913.673828125,307.62232971191406,2
cvj_arcturus_gaia_1233967198192238208,1.3,1.3062232905947226,0.03149523188951599,24551.412109375,4506.13671875,26503.248046875,311.9933776855469,3
cvj_arcturus_gaia_1233967198192238208,1.32,1.3203776876165518,0.031967595935280466,28301.701171875,3591.0425415039062,27278.451171875,284.9060287475586,2
cvj_arcturus_gaia_1233967198192238208,1.34,1.3401801161680358,0.03174038716402434,26177.5,2814.30029296875,22914.865234375,283.12109375,3
cvj_arcturus_gaia_1233967198192238208,1.36,1.3641360887346186,0.0328148688796642,25262.0625,2934.528076171875,23040.982421875,272.29258728027344,2
cvj_arcturus_gaia_1233967198192238208,1.3800000000000001,1.37178397529798,0.03315049756735561,27897.078125,4168.49951171875,24379.044921875,326.1079406738281,1
cvj_arcturus_gaia_1233967198192238208,1.4000000000000001,1.401046145549174,0.03352766140904115,21969.03515625,3754.1243896484375,22957.431640625,273.1387481689453,4
cvj_arcturus_gaia_1233967198192238208,1.42,1.425206736171559,0.0345985303830289,32855.7578125,5551.26611328125,24701.5,336.90057373046875,1
cvj_arcturus_gaia_1233967198192238208,1.44,1.4345165435592615,0.03507761787639152,17055.525390625,4281.711669921875,22849.96875,298.30320739746094,2
cvj_arcturus_gaia_1233967198192238208,1.46,1.4684273253906672,0.035810041638233085,23172.892578125,2237.58984375,23954.4296875,240.20492553710938,3
cvj_arcturus_gaia_1233967198192238208,1.5,1.5038166405410207,0.03689962324150159,26582.42578125,3401.926025390625,24338.1328125,272.8815612792969,3
cvj_arcturus_gaia_1233967198192238208,1.54,1.5411617425157205,0.037910146970933506,20086.12060546875,3770.0924072265625,22959.2255859375,263.80570220947266,2
cvj_arcturus_gaia_1233967198192238208,1.56,1.5680920523823767,0.038547108447944387,22212.259765625,2969.7822265625,21401.658203125,249.54531860351562,1
cvj_arcturus_gaia_1233967198192238208,1.58,1.5783846083225312,0.03825933487205644,26110.5234375,3796.960205078125,20669.5,263.702392578125,2
cvj_arcturus_gaia_1233967198192238208,1.6,1.6059287677642584,0.03949787640015703,29780.60546875,3298.6953125,20348.302734375,264.52984619140625,1
cvj_arcturus_gaia_1233967198192238208,1.62,1.6160803296324175,0.039326241436761514,19046.677734375,2674.9466552734375,22999.5947265625,250.40660095214844,2
cvj_arcturus_gaia_1233967198192238208,1.6400000000000001,1.6441372039722397,0.03937729856544704,27386.794921875,4468.1279296875,19209.2734375,278.9311218261719,1
cvj_arcturus_gaia_1233967198192238208,1.6600000000000001,1.6554365313181825,0.03925389694793032,16601.361328125,1637.091552734375,20500.326171875,239.016357421875,1
cvj_arcturus_gaia_1233967198192238208,1.68,1.6717011164720534,0.040013152963225954,30793.16796875,3153.41455078125,20005.857421875,282.0968017578125,1
cvj_arcturus_gaia_1233967198192238208,1.7,1.6937512265024497,0.040191917523868505,16370.431640625,6572.27734375,21430.921875,315.47027587890625,1
cvj_arcturus_gaia_1233967198192238208,1.74,1.7412100031782833,0.04213424255561159,19202.109375,3673.568572998047,19256.1484375,275.84254455566406,2
